url,ruta,multipagina,robots,extraccion,normalizacion,Cant-Tokens,guardado,Titulo de la página,Autoría de la página,Fecha de publicación de la página,Año de publicación de la Obra,Licencia,Medio
https://es.wikisource.org/wiki/Cel%C3%ADn,datos\pagina_33.html,Sí,OK,OK,OK,12377,OK,Celín - Wikisource,Benito Pérez Galdós,2007-11-18,1890,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Cinco_semanas_en_globo,datos\pagina_34.html,Sí,OK,OK,OK,79290,OK,Cinco semanas en globo - Wikisource,Julio Verne,2005-05-14,,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Clemencia_(Altamirano),datos\pagina_35.html,Sí,OK,OK,OK,51809,OK,Clemencia (Altamirano) - Wikisource,Ignacio Manuel Altamirano,2011-02-21,1869,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Clemencia_(Caballero),datos\pagina_36.html,Sí,OK,OK,OK,105158,OK,Clemencia (Caballero) - Wikisource,AutorFernán Caballero,2006-11-25,1862,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Crimen_y_castigo_(tr._an%C3%B3nima),datos\pagina_37.html,Sí,OK,OK,OK,208663,OK,Crimen y castigo (tr. anónima) - Wikisource,Fiódor Dostoyevski,2011-09-19,1951,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Cr%C3%B3nica_del_reinado_de_Carlos_IX,datos\pagina_38.html,Sí,OK,OK,OK,66868,OK,Crónica del reinado de Carlos IX - Wikisource,AutorProsper Mérimée,2008-02-20,1920,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Cuesti%C3%B3n_de_ambiente,datos\pagina_39.html,Sí,OK,OK,OK,21768,OK,Cuestión de ambiente - Wikisource,Antonio de Hoyos y Vinent,2008-01-25,1903,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Cumand%C3%A1,datos\pagina_40.html,Sí,OK,OK,OK,70906,OK,Cumandá - Wikisource,Juan León Mera,2007-06-12,1879,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/De_Cartago_a_Sagunto,datos\pagina_41.html,Sí,OK,OK,OK,68103,OK,De Cartago a Sagunto - Wikisource,Benito Pérez Galdós,2006-02-01,1911,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/De_O%C3%B1ate_a_la_Granja,datos\pagina_42.html,Sí,OK,OK,OK,80153,OK,De Oñate a la Granja - Wikisource,Benito Pérez Galdós,2006-01-31,1898,CC BY-SA 4.0,wikisource.org
"https://es.wikisource.org/wiki/De_tal_palo,_tal_astilla",datos\pagina_43.html,Sí,OK,OK,OK,85921,OK,"De tal palo, tal astilla - Wikisource",José María de Pereda,2006-01-16,1885,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Del_fr%C3%ADo_al_fuego,datos\pagina_44.html,Sí,OK,OK,OK,71453,OK,Del frío al fuego - Wikisource,Felipe Trigo,2007-02-27,,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Don_Gonzalo_Gonz%C3%A1lez_de_la_Gonzalera,datos\pagina_45.html,Sí,OK,OK,OK,88251,OK,Don Gonzalo González de la Gonzalera - Wikisource,José María de Pereda,2006-05-17,1871,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Don_Segundo_Sombra,datos\pagina_46.html,Sí,OK,OK,OK,61274,OK,Don Segundo Sombra - Wikisource,AutorRicardo Güiraldes,2008-05-05,1927,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Do%C3%B1a_Luz,datos\pagina_47.html,Sí,OK,OK,OK,59381,OK,Doña Luz - Wikisource,Juan Valera,2007-03-27,1879,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Do%C3%B1a_Milagros,datos\pagina_48.html,Sí,OK,OK,OK,67790,OK,Doña Milagros - Wikisource,Emilia Pardo Bazán,2007-03-29,1894,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Do%C3%B1a_Perfecta,datos\pagina_49.html,Sí,OK,OK,OK,65321,OK,Doña Perfecta - Wikisource,Benito Pérez Galdós,2006-02-26,1876,CC BY-SA 4.0,wikisource.org
https://es.wikisource.org/wiki/Dulce_due%C3%B1o_(Pardo_Baz%C3%A1n),datos\pagina_50.html,Sí,OK,OK,OK,66584,OK,Dulce dueño (Pardo Bazán) - Wikisource,Emilia Pardo Bazán,2007-03-29,1911,CC BY-SA 4.0,wikisource.org
