url;ruta;multipagina;robots;extraccion;normalizacion;Cant-Tokens;guardado;Titulo de la página;Autoría de la página;Fecha de publicación de la página;Año de publicación de la Obra;Licencia;Medio;;
https://es.wikisource.org/wiki/De_Cartago_a_Sagunto;datos\pagina_41.html;Sí;OK;OK;OK;68103;OK;De Cartago a Sagunto - Wikisource;Benito Pérez Galdós;01/02/2006;1911;CC BY-SA 4.0;wikisource.org;;1
https://es.wikisource.org/wiki/Aurora_roja;datos\pagina_19.html;Sí;OK;OK;OK;69763;OK;Aurora roja - Wikisource;Pío Baroja;03/02/2007;1904;CC BY-SA 4.0;wikisource.org;;1
https://es.wikisource.org/wiki/Carlos_VI_en_la_R%C3%A1pita;datos\pagina_31.html;Sí;OK;OK;OK;70053;OK;Carlos VI en la Rápita - Wikisource;Benito Pérez Galdós;21/02/2007;1905;CC BY-SA 4.0;wikisource.org;;1
https://es.wikisource.org/wiki/Cumand%C3%A1;datos\pagina_40.html;Sí;OK;OK;OK;70906;OK;Cumandá - Wikisource;Juan León Mera;12/06/2007;1879;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Del_fr%C3%ADo_al_fuego;datos\pagina_44.html;Sí;OK;OK;OK;71453;OK;Del frío al fuego - Wikisource;Felipe Trigo;27/02/2007;;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Amadeo_I;datos\pagina_11.html;Sí;OK;OK;OK;73201;OK;Amadeo I - Wikisource;Benito Pérez Galdós;01/02/2006;1909;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Bodas_reales;datos\pagina_23.html;Sí;OK;OK;OK;74518;OK;Bodas reales - Wikisource;Benito Pérez Galdós;31/01/2006;1900;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Ca%C3%B1as_y_barro;datos\pagina_32.html;Sí;OK;OK;OK;74953;OK;Cañas y barro - Wikisource;AutorVicente Blasco Ibáñez;07/12/2006;1916;CC BY-SA 4.0;wikisource.org;;1
https://es.wikisource.org/wiki/C%C3%A1diz;datos\pagina_27.html;Sí;OK;OK;OK;76255;OK;Cádiz - Wikisource;Benito Pérez Galdós;15/01/2006;1874;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Aita_Tettauen;datos\pagina_8.html;Sí;OK;OK;OK;78676;OK;Aita Tettauen - Wikisource;AutorBenito Pérez Galdós;23/02/2007;1905;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Cinco_semanas_en_globo;datos\pagina_34.html;Sí;OK;OK;OK;79290;OK;Cinco semanas en globo - Wikisource;Julio Verne;14/05/2005;;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/De_O%C3%B1ate_a_la_Granja;datos\pagina_42.html;Sí;OK;OK;OK;80153;OK;De Oñate a la Granja - Wikisource;Benito Pérez Galdós;31/01/2006;1898;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/De_tal_palo_tal_astilla;datos\pagina_43.html;Sí;OK;OK;OK;85921;OK;De tal palo, tal astilla - Wikisource;José María de Pereda;16/01/2006;1885;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Don_Gonzalo_Gonz%C3%A1lez_de_la_Gonzalera;datos\pagina_45.html;Sí;OK;OK;OK;88251;OK;Don Gonzalo González de la Gonzalera - Wikisource;José María de Pereda;17/05/2006;1871;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Arroz_y_tartana;datos\pagina_16.html;Sí;OK;OK;OK;90861;OK;Arroz y tartana - Wikisource;AutorVicente Blasco Ibáñez;18/01/2006;1919;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Al_primer_vuelo;datos\pagina_10.html;Sí;OK;OK;OK;101043;OK;Al primer vuelo - Wikisource;José María de Pereda;13/02/2006;1891;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Clemencia_(Caballero);datos\pagina_36.html;Sí;OK;OK;OK;105158;OK;Clemencia (Caballero) - Wikisource;AutorFernán Caballero;25/11/2006;1862;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/A_los_pies_de_Venus;datos\pagina_4.html;Sí;OK;OK;OK;108737;OK;A los pies de Venus - Wikisource;Vicente Blasco Ibáñez;05/02/2007;1926;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Brenda;datos\pagina_24.html;Sí;OK;OK;OK;114470;OK;Brenda - Wikisource;Eduardo Acevedo Díaz;16/02/2006;1886;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Crimen_y_castigo_(tr._an%C3%B3nima);datos\pagina_37.html;Sí;OK;OK;OK;208663;OK;Crimen y castigo (tr. anónima) - Wikisource;Fiódor Dostoyevski;19/09/2011;1951;CC BY-SA 4.0;wikisource.org;;
https://es.wikisource.org/wiki/Amalia;datos\pagina_12.html;Sí;OK;OK;OK;232197;OK;Amalia - Wikisource;AutorJosé Mármol;17/02/2006;1909;CC BY-SA 4.0;wikisource.org;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
